_ADPn,uniform,0.00881323510710859,0.0152656715398671,0.012
_ATPn,uniform,0.05,11.6920734524935,2.2
_glucn,uniform,0.876665434463002,1.49264975886901,1.2
_L0n,uniform,0.05,5.57386324834051,3
_PCrn,uniform,0.05,10.5558100166021,2.6
_Py0n,uniform,0.0762483124187686,0.122836361368246,0.1
a_frac_n,uniform,0,1,0.67
blood_frac,uniform,0.0241567982037307,0.0398913042484104,0.0325
C_buffi,uniform,0.0164432404553637,0.0272335547769348,0.022
C_buffic,uniform,0.0191367422291903,0.0316153764950981,0.025
c_frac,uniform,0.588921768103518,0.998554693144455,0.8
C_im,uniform,0.0051332781065992,0.00853800976958898,0.00675
C_v,uniform,0.0336938549143103,0.0577624690096278,0.047
c3,uniform,0.0834438327279009,0.121583577843179,0.11
CBFn,uniform,0.00627122123740304,0.00993861150540735,0.008
ck1,uniform,0.00744284597836112,0.0124596718431862,0.01
ck2,uniform,0.015329470943073,0.0243772377599204,0.02
CMRglucn,uniform,0.00334957976681847,0.00540819439955548,0.0044
CMRO2_n,uniform,0.0149772609829182,0.0247167026604478,0.02
CVinh,uniform,0.74536280581119,1.24874203371682,1
cytox_tot_tis,uniform,0.000451702547280491,0.00754160358624474,0.0022
Dp3_corr,uniform,-28.9452061720829,-19.4921061903162,-25
dpH,uniform,0.000765343856083064,0.00125131783381636,0.001
Dpsi_n,uniform,121.648394662355,153.704354498547,145
E_a30,uniform,260.083910396596,441.005500316979,350
E_c0,uniform,191.104474452384,254.350411729851,247
E_N0,uniform,-405.802253293809,-247.58464776139,-320
G_VAratn,uniform,3.11754686958295,5.02040873438108,4
G0rat,uniform,3.81822042873028,6.15632704618874,5
gluc_c,uniform,4.00878415110801,6.82195442603216,5.3
Gp0,uniform,-30741.9733979501,-30258.8796787474,-30500
h_0,uniform,0.00230172531234987,0.00369072872000884,0.003
Inh_glucN,uniform,0,22.1351507331889,3
k_ADPATP,uniform,809.225193698344,1274.78086375744,1055
k_aut,uniform,0,1,1
k_gluc_trans,uniform,4.70531688566121,7.73243030190587,6.2
k_lac_h,uniform,0,0.000233508468539589,0
k_lac_trans,uniform,1.55399038360977,2.4982140753048,2
k_lk2,uniform,0.0288991409849528,0.0470031776418773,0.038
k_nADPATP,uniform,289.638173635489,472.312243819866,379
k_PCrATP_eq_ef,uniform,127.838550384732,210.501312043519,166
k_PCrATP_ht,uniform,1.52617721227232e-05,2.4825458566859e-05,2e-05
k_PytoLac_ht,uniform,7.5631168579177,12.4004497318194,10
K_sigma,uniform,7.71588834254407,12.4255552959402,10
k_unc,uniform,0.770738231715743,1.2850068115552,1
k30,uniform,194508.077963627,310200.765061386,250000
Keq_MAshut,uniform,7.44102212107235,12.428132031832,10
km,uniform,0.0184807668961869,0.0309831805714481,0.025
Km_glucNAf,uniform,0.15784392898529,0.247475057597181,0.2
Km_glucNgl,uniform,0.0384054914614665,0.0620062813451222,0.05
Km_glucNN,uniform,0.0782371708703629,1,1
Km_glucNPf,uniform,0.155112482258847,0.24503467191388,0.2
Km_NADf,uniform,0,11.5714300319022,0.6
Km_Pyf,uniform,0,10.6131282256487,0
L_CV0,uniform,0.301300093625743,0.496650052247285,0.4
L_lkfrac,uniform,0.198596937649155,0.307121136699885,0.25
lac_c,uniform,0.775594495179264,1.2660416028696,1
n_h,uniform,1.87590824000948,3.10197770078365,2.5
n_m,uniform,1.41298999319292,2.3072342726846,1.83
na,uniform,3.5869325332891,5.13691928048179,4.33
NADcytn,uniform,311.396162587129,410.551319954155,359
NADHcytn,uniform,23.3080421776364,72.1783496200501,50
NADNADHratn,uniform,0.05,23.7203789053336,9
NADpool,uniform,2.2469844963728,3.61658827116422,3
O2_n,uniform,0.0181479872127326,0.0294997395974547,0.024
P_a,uniform,23.3134934356233,82.6322085809267,50
P_an,uniform,43.6219675219326,62.2344459539474,50
P_ic,uniform,3.46893141907263,5.62461965383962,4.5
P_icn,uniform,3.46712334753735,5.56014881790761,4.5
p_tot,uniform,17.862054765969,20.4116174991074,18.4
P_vs,uniform,1.13554800906034,1.84985890918716,1.5
Pa_CO2,uniform,14.5095659541153,65.6809008965051,40
Pa_CO2n,uniform,30.5333196931445,49.2526497510731,40
PCrPn,uniform,0.05,11.3869509550087,2.73
pH_mn,uniform,7.15613423186258,7.65351046560829,7.4
pH_o,uniform,5.84467633432873,7.64543157248121,7
pH_on,uniform,6.74498039271759,7.21539175721179,7
phi,uniform,0.0270067459189863,0.0451710914977947,0.036
r_0,uniform,0.00952074062961192,0.0152184340488172,0.0126
R_autc,uniform,0,10.6885156212309,2.2
R_auto,uniform,0,10.8017655606972,1.5
R_autp,uniform,0,11.6987772425591,4
r_CV,uniform,3.83246026094155,6.25113212478633,5
r_m,uniform,0.0204208118426868,0.0335608612534703,0.027
r_n,uniform,0.0137954417217908,0.023377501044549,0.0187
r_t,uniform,0.0134144523592842,0.0229768349043378,0.018
rocc,uniform,0,1,0
SaO2_n,uniform,0.885587326062977,1,0.96
SaO2sup,uniform,0.435354638997154,1,0.96
sigma_coll,uniform,48.9368876087056,76.2126034705039,62.79
sigma_e0,uniform,0.10829660510974,0.176804952242074,0.1425
t_c,uniform,3.84436355063155,6.17774624866286,5
t_o,uniform,13.9920222103657,24.8174855689348,20
t_p,uniform,3.8335615458357,6.28238997602705,5
t_u,uniform,0.379475320695392,0.6190949383717,0.5
VArat_n,uniform,2.31317210073827,3.77206829196926,3
Vol_mit,uniform,0.0509942780105068,0.0815286216189863,0.067
Vol_totn,uniform,0.771781734281308,1.27596882299697,1
Xtot_n,uniform,2.52877064065969,8.29339152761085,5.4
